Product_info,Price,Rating
"ALLDOCUBE GT Book Windows 11 Laptop 14-inch, Intel 11st-gen JasperLake N5100, Quad Core, 12GB RAM 256GB SSD, 14"" FHD IPS Display, WiFi 6, Bluetooth 5.1, Type C, Laptop with Backlit Keyboard",$359.90,4.2 out of 5 stars
"HP 2022 New 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",$479.00,4.3 out of 5 stars
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$381.00,4.4 out of 5 stars
"SGIN 17 Inch Laptop, 4GB RAM 128GB SSD Computer, Windows 11 Laptops with IPS Display, Intel Celeron N4020 Dual-Core Processor(Up to 2.8GHz), Mini HDMI, Webcam, Dual Wi-Fi, 512GB Expansion",$299.99,4.6 out of 5 stars
"MSI Modern 15 15.6"" Laptop: Intel Core i7-1195G7, Intel Iris Xe, 16GB DDR4, 1TB NVMe SSD, 180-Degree Lay-Flat, USB Type-C, MicroSD Card Reader, Win 11 Pro: Classic Black B11M-022US",$999.00,4.5 out of 5 stars
"HP Pavillion 15.6 HD Newest Laptop Computer for Business and Student, 16GB RAM, 1TB SSD, Intel Quad-Core Pentium N5000, Ethernet, WiFi, Webcam, Fast Charge, HDMI, Win 10 Home, w/GM Accessories",$499.00,4.4 out of 5 stars
"HP 15.6"" Touchscreen Newest Flagship HD Laptop, Intel i3-1115G4 up to 4.1GHz (Beat i5-1035G4), 16GB RAM, 1TB NVMe SSD, Fast Charge, Numpad, Bluetooth, Wi-Fi, HDMI, Win 11 Home S,w/GM Accessories",$549.00,4.4 out of 5 stars
"HP Newest Flagship 14"" HD Business Laptop Computer, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TB PCIe SSD, Iris Xe Graphics, Webcam, WiFi, Bluetooth, Win 11 Home, w/GM Accessories",$589.00,4.3 out of 5 stars
"HP 2022 New 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",$479.00,4.3 out of 5 stars
"HP Laptop 14-dq0090tg 14"" Intel Pentium Silver N5030 Intel UHD Graphics 605 4 GB RAM 128 GB SSD W10 Home in S Mode BT Webcam Jet Black(Renewed)",$174.95,4.4 out of 5 stars
"HP Chromebook 14a-na0052tg 14"" HD (1366 x 768) Anti Glare, Intel Celeron N4120 Processor, Intel UHD Graphics 600, 4GB LDDR4 RAM, 64GB eMMC Storage, Wifi & Bluetooth Chrome OS, Mineral Silver (Renewed)",$139.95,4.2 out of 5 stars
"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",$215.00,4.6 out of 5 stars
"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000​ 6GB RAM 64GB eMMC Gigabit wi-FI-XE350XBA-K03US,Silver",$349.00,4.4 out of 5 stars
